,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
.,Aircraft Damage,,,,,,,,,,,,,,
Visibility,No,Yes,,,,,,,,,,,,,
DAWN,80.83%,19.17%,,,,,,,,,,,,,
DAY,85.72%,14.28%,,,,,,,,,,,,,
DUSK,78.65%,21.35%,,,,,,,,,,,,,
NIGHT,82.25%,17.75%,,,,,,,,,,,,,
UNKNOWN,85.47%,14.53%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
.,Aircraft Damage,,,,,,,,,,,,,,
Year,No,Yes,,,,,,,,,,,,,
1990,81.28%,18.72%,,,,,,,,,,,,,
1991,83.83%,16.17%,,,,,,,,,,,,,
1992,86.12%,13.88%,,,,,,,,,,,,,
1993,86.32%,13.68%,,,,,,,,,,,,,
,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
.,Aircraft Damage,,,,,,,,,,,,,,
Flight Phase,No,Yes,,,,,,,,,,,,,
APPROACH,86.41%,13.59%,,,,,,,,,,,,,
CLIMB,81.35%,18.65%,,,,,,,,,,,,,
DESCENT,70.42%,29.58%,,,,,,,,,,,,,
EN ROUTE,56.15%,43.85%,,,,,,,,,,,,,
LANDING ROLL,87.87%,12.13%,,,,,,,,,,,,,
LOCAL,53.85%,46.15%,,,,,,,,,,,,,
TAKEOFF RUN,84.08%,15.92%,,, ,,,,,,,,,,
TAXI,85.29%,14.71%,,,,,,,,,,,,,
UNKNOWN,90.20%,9.80%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
.,Aircraft Damage,,,,,,,,,,,,,,
Precipitation,No,Yes,,,,,,,,,,,,,
FOG,82.82%,17.18%,,,,,,,,,,,,,
NONE,84.75%,15.25%,,,,,,,,,,,,,
RAIN,82.55%,17.45%,,,,,,,,,,,,,
SNOW,57.89%,42.11%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
.,Aircraft Damage,,,,,,,,,,,,,,
Engine Ingested,No,Yes,,,,,,,,,,,,,
No,88.50%,11.50%,,,,,,,,,,,,,
Yes,44.44%,55.56%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Aircraft ,Damage,,,,,,,,,,,,,,
FAA Region,Yes,,,,,,,,,,,,,,
AAL,15,,,,,,,,,,,,,,
ACE,59,,,,,,,,,,,,,,
AEA,280,,,,,,,,,,,,,,
AGL,224,,,,,,,,,,,,,,
ANE,74,,,,,,,,,,,,,,
ANM,96,,,,,,,,,,,,,,
ASO,220,,,,,,,,,,,,,,
ASW,167,,,,,,,,,,,,,,
AWP,189,,,,,,,,,,,,,,
FGN,15,,,,,,,,,,,,,,
NA,204,,,,,,,,,,,,,,
ONT,3,,,,,,,,,,,,,,